date,y
2018-03-09,1.325
2018-03-08,1.312
2018-03-07,1.287
2018-03-06,1.29
2018-03-05,1.28
2018-03-02,1.298
2018-03-01,1.302
2018-02-28,1.291
2018-02-27,1.303
2018-02-26,1.33
2018-02-23,1.329
2018-02-22,1.333
2018-02-14,1.298
2018-02-13,1.276
2018-02-12,1.266
2018-02-09,1.22
2018-02-08,1.254
2018-02-07,1.227
2018-02-06,1.273
2018-02-05,1.3
2018-02-02,1.334
2018-02-01,1.339
2018-01-31,1.371
2018-01-30,1.354
2018-01-29,1.361
2018-01-26,1.401
2018-01-25,1.391
2018-01-24,1.395
2018-01-23,1.408
2018-01-22,1.399
2018-01-19,1.349
2018-01-18,1.546
2018-01-17,1.537
2018-01-16,1.571
2018-01-15,1.557
2018-01-12,1.561
2018-01-11,1.545
2018-01-10,1.551
2018-01-09,1.539
2018-01-08,1.501
2018-01-05,1.484
2018-01-04,1.476
2018-01-03,1.461
2018-01-02,1.453
2017-12-31,1.444
2017-12-29,1.444
2017-12-28,1.447
2017-12-27,1.415
2017-12-26,1.442
2017-12-25,1.452
2017-12-22,1.453
2017-12-21,1.464
2017-12-20,1.452
2017-12-19,1.43
2017-12-18,1.416
2017-12-15,1.403
2017-12-14,1.417
2017-12-13,1.417
2017-12-12,1.382
2017-12-11,1.386
2017-12-08,1.343
2017-12-07,1.318
2017-12-06,1.342
2017-12-05,1.344
2017-12-04,1.35
2017-12-01,1.319
2017-11-30,1.314
2017-11-29,1.334
2017-11-28,1.356
2017-11-27,1.334
2017-11-24,1.364
2017-11-23,1.364
2017-11-22,1.425
2017-11-21,1.455
2017-11-20,1.425
2017-11-17,1.413
2017-11-16,1.43
2017-11-15,1.397
2017-11-14,1.395
2017-11-13,1.417
2017-11-10,1.422
2017-11-09,1.394
2017-11-08,1.387
2017-11-07,1.402
2017-11-06,1.404
2017-11-03,1.364
2017-11-02,1.37
2017-11-01,1.359
2017-10-31,1.365
2017-10-30,1.364
2017-10-27,1.363
2017-10-26,1.347
2017-10-25,1.334
2017-10-24,1.312
2017-10-23,1.303
2017-10-20,1.285
2017-10-19,1.294
2017-10-18,1.291
2017-10-17,1.279
2017-10-16,1.268
2017-10-13,1.279
2017-10-12,1.279
2017-10-11,1.276
2017-10-10,1.258
2017-10-09,1.243
2017-09-29,1.214
2017-09-28,1.206
2017-09-27,1.201
2017-09-26,1.199
2017-09-25,1.203
2017-09-22,1.2
2017-09-21,1.194
2017-09-20,1.193
2017-09-19,1.189
2017-09-18,1.2
2017-09-15,1.185
2017-09-14,1.177
2017-09-13,1.177
2017-09-12,1.159
2017-09-11,1.162
2017-09-08,1.158
2017-09-07,1.165
2017-09-06,1.175
2017-09-05,1.178
2017-09-04,1.174
2017-09-01,1.182
2017-08-31,1.18
2017-08-30,1.182
2017-08-29,1.172
2017-08-28,1.183
2017-08-25,1.173
2017-08-24,1.168
2017-08-23,1.17
2017-08-22,1.168
2017-08-21,1.17
2017-08-18,1.161
2017-08-17,1.163
2017-08-16,1.166
2017-08-15,1.17
2017-08-14,1.173
2017-08-11,1.157
2017-08-10,1.172
2017-08-09,1.176
2017-08-08,1.154
2017-08-07,1.149
2017-08-04,1.125
2017-08-03,1.131
2017-08-02,1.148
2017-08-01,1.156
2017-07-31,1.152
2017-07-28,1.153
2017-07-27,1.144
2017-07-26,1.148
2017-07-25,1.163
2017-07-24,1.173
2017-07-21,1.154
2017-07-20,1.152
2017-07-19,1.138
2017-07-18,1.126
2017-07-17,1.128
2017-07-14,1.147
2017-07-13,1.146
2017-07-12,1.147
2017-07-11,1.155
2017-07-10,1.137
2017-07-07,1.134
2017-07-06,1.147
2017-07-05,1.153
2017-07-04,1.137
2017-07-03,1.155
2017-06-30,1.172
2017-06-29,1.162
2017-06-28,1.16
2017-06-27,1.179
2017-06-26,1.179
2017-06-23,1.162
2017-06-22,1.147
2017-06-21,1.155
2017-06-20,1.131
2017-06-19,1.134
2017-06-16,1.12
2017-06-15,1.125
2017-06-14,1.126
2017-06-13,1.144
2017-06-12,1.144
2017-06-09,1.133
2017-06-08,1.128
2017-06-07,1.114
2017-06-06,1.093
2017-06-05,1.075
2017-06-02,1.079
2017-06-01,1.088
2017-05-31,1.083
2017-05-26,1.085
2017-05-25,1.083
2017-05-24,1.085
2017-05-23,1.094
2017-05-22,1.081
2017-05-19,1.075
2017-05-18,1.067
2017-05-17,1.069
2017-05-16,1.081
2017-05-15,1.059
2017-05-12,1.055
2017-05-11,1.051
2017-05-10,1.032
2017-05-09,1.031
2017-05-08,1.025
2017-05-05,1.051
2017-05-04,1.054
2017-05-03,1.055
2017-05-02,1.055
2017-04-28,1.055
2017-04-27,1.065
2017-04-26,1.062
2017-04-25,1.068
2017-04-24,1.043
2017-04-21,1.054
2017-04-20,1.056
2017-04-19,1.038
2017-04-18,1.034
2017-04-17,1.018
2017-04-14,1.009
2017-04-13,1.018
2017-04-12,1.009
2017-04-11,1.009
2017-04-10,1.016
2017-04-07,1.022
2017-04-06,1.019
2017-04-05,1.019
2017-03-31,1.019
2017-03-30,1.005
2017-03-29,1.013
2017-03-28,1.01
2017-03-27,1.012
2017-03-24,1.024
2017-03-23,1.021
2017-03-22,1.022
2017-03-21,1.006
2017-03-20,0.993
2017-03-17,0.989
2017-03-16,0.994
2017-03-15,0.995
2017-03-14,0.989
2017-03-13,0.994
2017-03-10,0.982
2017-03-09,0.974
2017-03-08,0.981
2017-03-07,0.986
2017-03-06,0.976
2017-03-03,0.962
